chr,pos,varID
1,439,SNP566
1,609,SNP38
1,743,SNP573
1,23,SNP213
1,773,SNP300
1,966,SNP529
1,923,SNP791
1,208,SNP843
1,889,SNP740
1,50,SNP838
1,841,SNP450
1,485,SNP253
1,292,SNP133
1,185,SNP80
1,153,SNP783
1,669,SNP736
1,590,SNP538
1,426,SNP345
1,673,SNP418
1,700,SNP333
1,650,SNP954
1,579,SNP738
1,57,SNP994
1,938,SNP98
1,979,SNP440
1,835,SNP912
1,536,SNP674
1,997,SNP910
1,791,SNP108
1,350,SNP759
1,630,SNP658
1,727,SNP428
1,294,SNP2
1,163,SNP653
1,880,SNP17
1,229,SNP770
1,51,SNP748
1,190,SNP635
1,210,SNP822
1,516,SNP164
1,636,SNP730
1,876,SNP751
1,556,SNP719
1,528,SNP957
1,944,SNP971
1,358,SNP165
1,228,SNP202
1,213,SNP182
1,737,SNP375
2,79,SNP438
2,160,SNP224
2,344,SNP141
2,56,SNP493
2,987,SNP33
2,397,SNP652
2,264,SNP545
2,732,SNP716
2,434,SNP369
2,799,SNP921
2,711,SNP754
2,674,SNP130
2,35,SNP239
2,590,SNP560
2,812,SNP720
2,706,SNP647
2,970,SNP800
2,485,SNP555
2,465,SNP900
2,863,SNP297
2,596,SNP339
2,573,SNP160
2,957,SNP429
2,245,SNP877
2,136,SNP858
2,349,SNP481
2,800,SNP524
2,242,SNP525
2,296,SNP704
2,550,SNP703
2,478,SNP981
2,56,SNP702
2,507,SNP215
2,90,SNP960
2,705,SNP527
2,659,SNP150
2,525,SNP664
2,474,SNP677
2,442,SNP265
2,847,SNP293
2,517,SNP952
2,853,SNP808
2,394,SNP600
2,453,SNP599
2,345,SNP456
3,216,SNP200
3,933,SNP222
3,986,SNP670
3,871,SNP229
3,107,SNP978
3,340,SNP884
3,936,SNP204
3,230,SNP225
3,135,SNP221
3,490,SNP591
3,369,SNP665
3,193,SNP404
3,312,SNP206
3,76,SNP767
3,439,SNP574
3,71,SNP384
3,960,SNP907
3,355,SNP399
3,270,SNP337
3,839,SNP976
3,443,SNP735
3,500,SNP928
3,878,SNP861
3,888,SNP472
3,846,SNP936
3,120,SNP269
3,154,SNP296
3,960,SNP489
3,841,SNP30
3,947,SNP29
3,625,SNP731
3,573,SNP853
3,928,SNP19
3,187,SNP777
3,865,SNP519
3,921,SNP516
3,247,SNP722
3,969,SNP972
3,126,SNP780
3,441,SNP68
3,677,SNP319
3,262,SNP370
3,146,SNP192
3,448,SNP244
3,543,SNP241
