gene_id,chr,start,end
Gene000,13,543,615
Gene001,9,127,141
Gene002,17,805,898
Gene003,2,335,377
Gene004,3,151,203
Gene005,9,470,522
Gene006,21,844,866
Gene007,9,160,239
Gene008,4,795,840
Gene009,5,264,338
Gene010,11,374,409
Gene011,22,388,443
Gene012,2,587,615
Gene013,15,549,642
Gene014,13,540,622
Gene015,5,23,112
Gene016,9,175,221
Gene017,10,558,594
Gene018,7,560,576
Gene019,22,292,301
Gene020,14,439,455
Gene021,11,39,128
Gene022,2,641,671
Gene023,5,203,272
Gene024,22,849,921
Gene025,17,254,295
Gene026,22,267,321
Gene027,10,825,924
Gene028,6,821,859
Gene029,4,69,74
Gene030,21,457,504
Gene031,2,816,822
Gene032,9,272,330
Gene033,17,755,839
Gene034,9,784,860
Gene035,17,178,257
Gene036,13,489,571
Gene037,12,828,874
Gene038,15,543,574
Gene039,7,620,636
Gene040,22,333,392
Gene041,22,127,195
Gene042,5,597,615
Gene043,20,305,314
Gene044,2,785,810
Gene045,3,275,303
Gene046,12,878,883
Gene047,7,7,10
Gene048,1,525,552
Gene049,2,540,545
Gene050,17,343,356
Gene051,20,19,103
Gene052,15,668,729
Gene053,9,656,727
Gene054,17,725,763
Gene055,2,861,916
Gene056,8,689,691
Gene057,14,487,567
Gene058,4,748,769
Gene059,15,89,93
Gene060,5,674,769
Gene061,20,172,196
Gene062,9,285,291
Gene063,4,844,922
Gene064,16,530,614
Gene065,16,50,141
Gene066,22,411,421
Gene067,15,776,800
Gene068,8,223,294
Gene069,10,247,311
Gene070,1,736,803
Gene071,13,88,141
Gene072,11,203,298
Gene073,1,631,636
Gene074,17,601,689
Gene075,10,194,210
Gene076,17,16,19
Gene077,20,440,528
Gene078,16,781,867
Gene079,5,552,601
Gene080,2,317,339
Gene081,5,156,165
Gene082,2,575,633
Gene083,16,666,717
Gene084,13,144,173
Gene085,19,178,198
Gene086,3,639,715
Gene087,14,691,789
Gene088,22,100,197
Gene089,16,792,866
Gene090,1,360,393
Gene091,19,729,773
Gene092,4,501,578
Gene093,21,262,267
Gene094,19,279,281
Gene095,11,116,157
Gene096,21,493,588
Gene097,1,5,14
Gene098,8,379,448
Gene099,10,696,742
